earchID,SearchDate,IPID,UserID,IsUserLoggedOn,SearchQuery,LocationID,CategoryID,SearchParams
806,2015-05-14 19:13:32.0,1095437,3815010,1,sony,3960,44,{223:'Зеркальные фотоаппараты'}
895,2015-05-07 13:24:30.0,1312844,217248,1,4,733,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Подвеска'}"
913,2015-05-04 15:11:10.0,1049785,1858517,0,балетки,992,22,"{83:'Обувь', 175:'Женская одежда', 88:'36'}"
924,2015-04-30 10:46:26.0,138385,3984901,0,балетки,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'38'}"
945,2015-05-04 14:10:23.0,369035,3048570,0,jbl,3953,26,"{132:'Акустика, колонки, сабвуферы'}"
961,2015-05-18 22:07:50.0,2091879,2185994,1,кардиган,2840,22,"{83:'Пиджаки и костюмы', 175:'Женская одежда', 89:'40–42 (XS)'}"
1029,2015-04-25 16:30:19.0,155377,1869509,1,samsung,3953,25,{140:'Планшеты'}
1080,2015-05-15 21:33:20.0,1621807,1205215,0,бу детская,697,47,{127:'Детские коляски'}
1086,2015-05-12 10:58:29.0,1723202,170693,0,zippy,1270,47,{127:'Детские коляски'}
1100,2015-04-28 10:54:53.0,1421156,3525536,1,форд фокус 2,942,34,{5:'Запчасти'}
1101,2015-05-01 12:53:03.0,108491,4105671,0,форд фокус,3953,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Тормозная система'}"
1122,2015-04-27 22:55:16.0,103502,1886292,0,велосипед,3953,4,{156:'Дорожные'}
1123,2015-05-09 21:47:57.0,2096997,1552732,0,стулья,3960,38,{45:'Столы и стулья'}
1127,2015-05-09 14:45:41.0,2178943,317184,1,nikon,992,44,{223:'Объективы'}
1159,2015-05-11 13:21:03.0,580096,3231725,0,на ваз,3976,34,"{5:'Шины, диски и колёса'}"
1165,2015-05-07 10:31:08.0,2103478,2488538,0,туфли,547,22,"{83:'Обувь', 175:'Женская одежда', 88:'38'}"
1189,2015-04-27 20:01:14.0,1718395,2561704,0,шевроле лачетти,3953,34,"{598:'Для автомобилей', 5:'Запчасти'}"
1192,2015-05-07 23:03:57.0,86782,568068,0,продам iphone 5,3960,41,{143:'iPhone'}
1227,2015-05-20 12:28:03.0,43069,3419944,0,юбка,3960,60,"{115:'110-116 см (4-6 лет)', 179:'Платья и юбки', 178:'Для девочек'}"
1270,2015-05-12 12:06:47.0,1845274,1167533,1,угловой диван б/у,4294,38,"{45:'Кровати, диваны и кресла'}"
1272,2015-05-14 10:50:18.0,1824092,2871357,0,ауди а6,3960,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Автосвет'}"
1287,2015-05-10 20:23:32.0,1963728,1496613,0,юбка длинная,3960,22,"{83:'Платья и юбки', 175:'Женская одежда', 90:'46–48 (L)'}"
1290,2015-05-01 06:41:02.0,597508,55823,1,кожаные,3960,22,"{176:'Обувь', 175:'Мужская одежда', 98:'45'}"
1305,2015-05-14 14:23:46.0,1086808,353134,0,на ваз,2612,34,"{5:'Шины, диски и колёса'}"
1350,2015-05-07 09:17:14.0,315690,928776,0,генератор бензиновый бу,414,50,{44:'Инструменты'}
1379,2015-05-15 09:26:48.0,1697153,303824,0,женская,3960,34,{5:'Экипировка'}
1419,2015-05-05 20:41:07.0,1964350,2030091,0,диван бу,697,38,"{45:'Кровати, диваны и кресла'}"
1461,2015-04-27 20:22:02.0,993675,976899,1,диван,3177,38,"{45:'Кровати, диваны и кресла'}"
1495,2015-05-13 08:41:12.0,1922534,4292789,1,костюм,2164,60,{178:'Для мальчиков'}
1548,2015-05-17 00:11:04.0,1248249,1486909,0,кроссовки,3953,22,"{176:'Обувь', 175:'Мужская одежда', 98:'42'}"
1549,2015-04-30 09:22:14.0,5520,3502843,1,туфли,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'39'}"
1575,2015-05-02 15:12:26.0,315903,946905,0,балетки,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'37'}"
1581,2015-05-11 12:10:16.0,611373,1518745,0,тойота рав 4,3953,34,{5:'Запчасти'}
1598,2015-05-05 14:08:17.0,2124909,2325595,1,угловой диван,3953,38,"{45:'Кровати, диваны и кресла'}"
1610,2015-05-04 00:58:04.0,2189203,3466371,0,рубанок,2885,50,{44:'Инструменты'}
1708,2015-05-04 11:48:50.0,1486383,3397508,0,коляска,3976,47,{127:'Детские коляски'}
1738,2015-05-10 15:36:31.0,473107,1802383,1,pioneer,3960,26,{132:'Усилители и ресиверы'}
1749,2015-05-13 16:12:24.0,39042,1494209,1,футболка,3960,22,"{83:'Топы и футболки', 175:'Женская одежда', 92:'46–48 (L)'}"
1790,2015-05-19 11:47:18.0,1613823,2463748,1,джинсы,1294,60,"{118:'98-104 см (2-4 года)', 110:'Брюки', 178:'Для мальчиков'}"
1800,2015-04-28 21:57:54.0,749208,3366560,1,детские книги,547,52,{167:'Книги'}
1801,2015-05-07 12:32:20.0,657562,1273255,0,siemens,1270,27,"{487:'Стиральные машины', 48:'Для дома'}"
1804,2015-04-29 12:18:01.0,1268522,3250695,1,tutis,343,47,{127:'Детские коляски'}
1818,2015-05-11 23:51:43.0,403375,1812231,1,olympus,2885,44,{223:'Зеркальные фотоаппараты'}
1819,2015-05-17 16:37:31.0,1766463,664643,0,рено логан,3960,34,{5:'Запчасти'}
1820,2015-05-06 23:19:45.0,2078646,3168097,0,диван,3960,38,"{45:'Кровати, диваны и кресла'}"
1832,2015-05-06 23:37:47.0,679155,428482,0,ботинки,3953,60,"{125:'21', 179:'Обувь', 178:'Для девочек'}"
1865,2015-05-09 01:02:48.0,1242018,4253550,0,кресло,3953,38,"{45:'Кровати, диваны и кресла'}"
1870,2015-05-03 17:53:23.0,77699,4283810,0,кофеварка,3960,27,{48:'Для кухни'}
1890,2015-05-10 19:35:31.0,1171961,1300139,1,ваз,4145,34,"{5:'Шины, диски и колёса'}"
1907,2015-05-17 17:56:18.0,1410237,3051150,0,4s,1344,41,{143:'iPhone'}
1912,2015-05-10 14:08:50.0,944989,3526001,1,диван,2840,38,"{45:'Кровати, диваны и кресла'}"
1948,2015-05-03 18:51:37.0,965108,2549173,0,босоножки,3939,22,{175:'Женская одежда'}
2010,2015-04-26 16:00:42.0,2021960,3767216,1,акустика jbl,2885,26,"{132:'Акустика, колонки, сабвуферы'}"
2018,2015-05-07 10:36:11.0,213681,2030130,1,iphone 4,3960,41,{143:'iPhone'}
2071,2015-05-06 19:03:29.0,300143,4324050,1,кеды,3960,60,"{124:'27', 110:'Обувь', 178:'Для мальчиков'}"
2086,2015-05-08 11:27:55.0,646352,3434270,0,футболка,3335,22,{175:'Мужская одежда'}
2096,2015-04-26 20:09:10.0,111090,3028419,0,кухня,3953,38,{45:'Кухонные гарнитуры'}
2107,2015-04-28 16:14:20.0,1275846,2949364,0,дрель,3960,50,{44:'Инструменты'}
2159,2015-04-27 08:54:32.0,1512849,4038816,1,диван б/у,4145,38,"{45:'Кровати, диваны и кресла'}"
2185,2015-04-25 16:19:36.0,1300390,1056674,1,core 2,1344,41,{143:'Samsung'}
2283,2015-04-29 09:41:06.0,882857,470843,1,туфли,3335,22,"{83:'Обувь', 175:'Женская одежда', 88:'37'}"
2287,2015-05-15 01:53:03.0,1067240,826668,0,ауди,3953,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Подвеска'}"
2332,2015-05-12 11:57:19.0,245569,432259,0,платье,346,22,"{83:'Платья и юбки', 175:'Женская одежда', 90:'44–46 (M)'}"
2342,2015-04-28 09:49:01.0,1100920,3562246,0,босоножки,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'40'}"
2375,2015-05-03 23:02:39.0,1045761,2314599,0,диван,3953,38,"{45:'Кровати, диваны и кресла'}"
2420,2015-05-11 20:33:01.0,1560508,468149,1,куртка,3953,22,"{176:'Верхняя одежда', 175:'Мужская одежда', 96:'52–54 (XXL)'}"
2424,2015-05-05 21:42:24.0,2085013,1925953,0,2 шт,3960,34,"{709:'Шины', 731:'235', 733:'17', 732:'45', 5:'Шины, диски и колёса', 734:'Летние'}"
2429,2015-05-17 19:49:33.0,977752,2491965,1,оптом,2885,41,{143:'Nokia'}
2444,2015-05-09 22:09:12.0,1153500,3913921,0,nikon d810,3953,44,{223:'Зеркальные фотоаппараты'}
2481,2015-04-29 07:37:40.0,52631,2834143,0,туфли,346,22,"{83:'Обувь', 175:'Женская одежда', 88:'36'}"
2511,2015-05-01 20:47:41.0,1210367,264968,0,планшет,3953,25,{140:'Планшеты'}
2530,2015-04-26 14:05:52.0,1655765,3412854,1,iphone 5s,3960,41,{143:'iPhone'}
2540,2015-05-01 00:40:20.0,978185,1050714,1,сумка,346,22,{175:'Аксессуары'}
2606,2015-05-01 11:23:16.0,2213808,346667,0,кроссовки,1261,22,"{83:'Обувь', 175:'Женская одежда', 88:'36'}"
2611,2015-04-29 16:57:55.0,434335,3706177,1,мужские часы,3953,11,{104:'Часы'}
2637,2015-05-16 14:56:25.0,1446501,962531,1,резиновые,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'38'}"
2643,2015-05-08 17:19:16.0,2159830,676696,1,сумка,3953,22,{175:'Аксессуары'}
2646,2015-05-01 12:56:52.0,1962938,3561596,1,nike,3953,22,"{176:'Обувь', 175:'Мужская одежда'}"
2651,2015-05-19 00:28:51.0,2051582,3689677,1,диван,3953,38,"{45:'Кровати, диваны и кресла'}"
2702,2015-05-17 09:45:57.0,1363717,1064501,0,спортивная одежда,3953,22,{175:'Мужская одежда'}
2705,2015-05-08 11:55:07.0,1512681,952960,0,opel,3960,34,"{797:'16', 5:'Шины, диски и колёса', 709:'Диски', 799:'5'}"
2709,2015-05-06 21:09:05.0,1419686,1717039,1,макасины,992,22,"{83:'Обувь', 175:'Женская одежда', 88:'40'}"
2726,2015-05-08 13:18:51.0,1083273,2493983,1,комбинезон,3960,60,{178:'Для девочек'}
2729,2015-05-14 19:43:53.0,1298067,2392774,0,диваны бу,3953,38,"{45:'Кровати, диваны и кресла'}"
2735,2015-05-07 10:35:18.0,2185219,2875091,0,iphone 4,3953,41,{143:'iPhone'}
2736,2015-05-09 16:20:38.0,933835,3534547,0,сумка,3960,22,{175:'Аксессуары'}
2819,2015-05-05 00:46:40.0,504281,3429992,1,ветровка,3960,60,"{112:'134-140 см (8-10 лет)', 179:'Верхняя одежда', 178:'Для девочек'}"
2839,2015-05-13 14:41:09.0,80887,3053405,0,вы,2277,27,"{486:'Вытяжки', 48:'Для кухни'}"
2844,2015-05-17 00:51:54.0,130880,225204,1,коляска трость,3953,47,{127:'Детские коляски'}
2847,2015-05-01 19:29:58.0,1317316,1522560,0,холодильники,1653,27,"{486:'Холодильники и морозильные камеры', 48:'Для кухни'}"
2913,2015-05-01 18:01:31.0,1590828,802328,0,комод,3960,38,{45:'Шкафы и комоды'}
2918,2015-05-12 18:23:44.0,1174177,2344552,0,платье,3939,60,"{115:'122-128 см (6-8 лет)', 179:'Платья и юбки', 178:'Для девочек'}"
2992,2015-05-04 20:34:36.0,745981,1104838,0,запчасти,2350,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Запчасти для ТО'}"
3000,2015-04-26 13:39:48.0,1381100,1942733,0,стол,3953,38,{45:'Столы и стулья'}
3039,2015-05-14 22:54:11.0,427091,1771744,0,парка,3953,22,{175:'Мужская одежда'}
3048,2015-05-06 06:50:41.0,1186304,1235361,0,золотые серьги,2739,11,{104:'Ювелирные изделия'}
3068,2015-05-11 22:40:26.0,1425740,1685858,1,горный велосипед,3960,4,{156:'Горные'}
3110,2015-05-01 21:06:34.0,1243790,3277773,1,lee,3953,22,{175:'Мужская одежда'}
3111,2015-05-01 15:27:26.0,1223392,4307077,1,кожа туфли,3953,22,"{83:'Обувь', 175:'Женская одежда', 88:'40'}"
3221,2015-04-28 21:47:54.0,1734722,2642995,1,чайник,230,27,{48:'Для кухни'}
3227,2015-05-03 21:55:54.0,206458,4212272,1,ветровка,1653,60,"{112:'98-104 см (2-4 года)', 179:'Верхняя одежда', 178:'Для девочек'}"
3261,2015-05-16 16:43:12.0,1089284,2099090,1,кресла,3939,38,"{45:'Кровати, диваны и кресла'}"
3262,2015-05-01 06:58:01.0,968080,1806840,1,рено меган 2,3771,34,"{598:'Для автомобилей', 5:'Запчасти'}"
3298,2015-05-17 11:08:20.0,36858,324209,0,гранд витара,3960,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Автосвет'}"
3307,2015-05-01 23:28:06.0,168194,1945031,0,asus memo pad,3960,25,{140:'Планшеты'}
3332,2015-05-07 20:28:02.0,1426524,488319,1,платье,2885,60,"{115:'134-140 см (8-10 лет)', 179:'Платья и юбки', 178:'Для девочек'}"
3379,2015-05-14 11:19:09.0,262027,3798961,1,диваны бу,3939,38,"{45:'Кровати, диваны и кресла'}"
3420,2015-04-26 23:02:14.0,1120235,1855583,1,ботильоны,1261,22,"{83:'Обувь', 175:'Женская одежда', 88:'38'}"
3426,2015-05-18 13:59:08.0,950847,981567,1,туфли,3953,22,"{83:'Обувь', 175:'Женская одежда', 88:'37'}"
3427,2015-05-08 14:32:28.0,1546631,3061451,0,куртка,3771,22,"{83:'Верхняя одежда', 175:'Женская одежда', 86:'Без размера'}"
3437,2015-05-02 07:13:07.0,1010981,2511039,1,zelmer,3771,27,"{487:'Пылесосы', 48:'Для дома'}"
3519,2015-05-14 19:25:41.0,734474,845524,1,iphone 6,1731,41,{143:'iPhone'}
3523,2015-04-28 09:01:07.0,2037152,1560746,1,джинсы,346,60,{178:'Для мальчиков'}
3524,2015-05-15 16:57:26.0,1040828,4064346,1,s5,3856,41,{143:'Samsung'}
3575,2015-04-30 14:17:24.0,621413,3104453,0,ботинки,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'39'}"
3586,2015-05-11 21:57:40.0,1430346,3277586,1,samsung galaxy s5,3960,41,{143:'Samsung'}
3604,2015-05-05 23:07:06.0,1068172,3286386,0,стул,3960,38,{45:'Столы и стулья'}
3614,2015-05-07 00:14:32.0,2065449,625143,0,samsung galaxy s5,3771,41,{143:'Samsung'}
3626,2015-05-13 02:13:43.0,40566,2035319,0,ботинки,3960,22,"{176:'Обувь', 175:'Мужская одежда', 98:'41'}"
3638,2015-04-27 18:46:55.0,1896797,57042,1,nikon,4429,44,{223:'Зеркальные фотоаппараты'}
3665,2015-05-11 14:07:16.0,2188640,2027906,0,iphone 5s,2840,41,{143:'iPhone'}
3678,2015-05-07 13:09:24.0,304264,955468,1,на уаз бу,1653,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Трансмиссия и привод'}"
3686,2015-05-12 12:51:48.0,1401472,3121944,0,iphone 6 plus 64gb,3960,41,{143:'iPhone'}
3700,2015-04-27 11:09:56.0,495464,864184,0,туфли,3953,22,"{83:'Обувь', 175:'Женская одежда', 88:'38'}"
3714,2015-04-25 22:35:46.0,1747520,349076,0,босоножки,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'36'}"
3829,2015-04-28 11:19:39.0,795521,4098724,0,угловой диван,3928,38,"{45:'Кровати, диваны и кресла'}"
3837,2015-05-18 23:21:10.0,553859,3634217,1,киа сид,3953,34,"{598:'Для автомобилей', 5:'Запчасти'}"
3861,2015-05-10 21:57:58.0,2080658,778913,0,iphone 5s,1194,41,{143:'iPhone'}
3936,2015-05-04 22:16:32.0,851521,1211451,1,кроссовки,1344,22,"{83:'Обувь', 175:'Женская одежда', 88:'38'}"
3950,2015-05-08 14:35:49.0,597956,489963,0,кроссовки,547,60,"{125:'34', 179:'Обувь', 178:'Для девочек'}"
3977,2015-05-13 14:20:33.0,2049899,3809953,0,босоножки,3939,22,"{83:'Обувь', 175:'Женская одежда', 88:'< 35'}"
4080,2015-04-28 19:59:54.0,305755,178943,0,каляска универсальная,942,47,{127:'Детские коляски'}
4098,2015-05-03 12:48:11.0,2137798,650247,0,5х100,913,34,"{5:'Шины, диски и колёса'}"
4101,2015-05-08 20:12:26.0,1766976,1724236,0,led телевизор бу,3953,26,{132:'Телевизоры и проекторы'}
4148,2015-04-25 21:00:49.0,1033277,2078820,0,часы мужские,3960,11,{104:'Часы'}
4153,2015-05-11 21:38:48.0,135677,1501893,1,спортивный костюм,2885,60,"{477:'122-128 см (6-8 лет)', 110:'Трикотаж', 178:'Для мальчиков'}"
4184,2015-05-12 23:08:09.0,932299,4334084,0,двери межкомнатные,3960,50,{44:'Двери'}
4188,2015-05-04 18:02:19.0,2055413,3429817,1,peugeot,3960,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Кузов'}"
4209,2015-05-06 13:53:12.0,1312586,88436,0,сумка,3960,22,{175:'Аксессуары'}
4229,2015-05-07 15:15:59.0,1833059,1373672,0,кресла,1270,38,"{45:'Кровати, диваны и кресла'}"
4272,2015-04-27 00:32:23.0,704703,2117080,1,samsung galaxy note 4,3960,41,{143:'Samsung'}
4284,2015-05-08 15:44:37.0,1497271,115504,0,adidas,3953,22,"{176:'Обувь', 175:'Мужская одежда', 98:'45'}"
4297,2015-05-19 08:24:02.0,1591907,749115,0,z3,2885,41,{143:'Sony'}
4350,2015-05-03 23:23:59.0,1401126,3616224,0,diesel,3960,22,{175:'Аксессуары'}
4351,2015-05-07 17:16:50.0,232144,4077650,0,sony xperia tablet z2,3953,25,{140:'Планшеты'}
4374,2015-04-27 16:00:07.0,1809494,488936,0,коляска,2049,47,{127:'Детские коляски'}
4451,2015-04-27 11:00:36.0,1345556,3096355,1,кошелек,3953,22,{175:'Аксессуары'}
4457,2015-05-11 22:17:51.0,1789093,1325509,0,босоножки,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'> 41'}"
4511,2015-05-17 15:07:44.0,17760,2538778,1,телефон,3960,41,{143:'Nokia'}
4533,2015-05-19 08:28:56.0,2015337,2626089,0,акцент,1261,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Запчасти для ТО'}"
4536,2015-05-08 23:58:56.0,67356,4157367,1,коляска,3953,47,{127:'Детские коляски'}
4549,2015-05-17 19:30:21.0,165493,3937148,0,чайник эле,3960,27,{48:'Для кухни'}
4554,2015-05-18 07:39:33.0,57493,2801651,1,очки,926,22,{175:'Аксессуары'}
4590,2015-05-13 00:37:05.0,1523854,1178274,0,дизайнерское,3953,38,"{45:'Кровати, диваны и кресла'}"
4641,2015-04-26 00:24:55.0,1484846,1924185,0,кроссовки,2685,22,"{176:'Обувь', 175:'Мужская одежда'}"
4680,2015-04-28 12:19:03.0,266467,632140,1,продам комод,1261,38,{45:'Шкафы и комоды'}
4697,2015-05-03 01:17:07.0,1072050,3816283,1,балетки из,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'39'}"
4754,2015-04-28 13:52:47.0,1197640,2046400,1,сумка,3953,22,{175:'Аксессуары'}
4763,2015-05-11 16:06:52.0,1981795,1717682,1,планшет,3960,25,{140:'Планшеты'}
4801,2015-05-01 09:39:59.0,625534,3385376,1,пальто,3960,22,"{83:'Верхняя одежда', 175:'Женская одежда', 86:'44–46 (M)'}"
4807,2015-05-18 13:17:11.0,898486,3206191,0,кроссовки,3104,22,"{83:'Обувь', 175:'Женская одежда', 88:'38'}"
4815,2015-05-03 12:54:14.0,2052205,2213980,0,форд фокус 2,3960,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Салон'}"
4834,2015-04-28 11:20:20.0,2146783,2769947,0,компьютерный стол,3960,38,{45:'Столы и стулья'}
4840,2015-04-30 17:13:59.0,1400026,1441747,0,furla,3960,22,{175:'Аксессуары'}
4842,2015-05-18 13:22:38.0,602389,1624855,0,часы мужские,3960,11,{104:'Часы'}
4856,2015-05-19 15:57:30.0,1296805,2912536,0,стол,3960,38,{45:'Столы и стулья'}
4908,2015-05-04 14:37:04.0,1025676,1504740,0,yamaha,3960,16,{162:'Пианино и другие клавишные'}
4944,2015-05-14 18:16:05.0,1982223,1611279,0,samsung galaxy s3,3921,41,{143:'Samsung'}
4947,2015-04-26 13:57:53.0,491954,1457519,1,пальто,1294,22,"{83:'Верхняя одежда', 175:'Женская одежда', 86:'40–42 (XS)'}"
4970,2015-05-16 14:03:15.0,952491,1718918,1,iphone 5,346,41,{143:'iPhone'}
5031,2015-04-29 19:33:51.0,1285367,3382287,1,босоножки,3953,60,"{125:'25', 179:'Обувь', 178:'Для девочек'}"
5096,2015-05-02 20:39:37.0,1852735,1703812,1,норковая,3960,22,"{83:'Верхняя одежда', 175:'Женская одежда', 86:'42–44 (S)'}"
5098,2015-05-12 12:21:25.0,70216,2058062,1,кеды,2885,60,"{124:'29', 110:'Обувь', 178:'Для мальчиков'}"
5104,2015-05-04 15:52:07.0,595,3412992,1,samsung galaxy s4,992,41,{143:'Samsung'}
5107,2015-05-08 21:52:32.0,2027349,1069957,0,сумка,4111,22,{175:'Аксессуары'}
5135,2015-04-25 22:03:53.0,1302842,3152171,1,часы мужские,3953,11,{104:'Часы'}
5167,2015-05-17 10:23:00.0,1549442,2428015,1,часы,2643,11,{104:'Часы'}
5217,2015-05-16 12:27:05.0,388124,516752,0,ipad,3953,25,{140:'Планшеты'}
5248,2015-05-12 11:49:22.0,1986759,3029528,0,балетки,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'37'}"
5261,2015-05-17 15:38:40.0,1502032,1127598,1,коляски,1667,47,{127:'Детские коляски'}
5304,2015-05-08 22:59:17.0,1076752,3784378,0,кроссовки,2885,22,"{83:'Обувь', 175:'Женская одежда', 88:'40'}"
5314,2015-05-15 21:31:14.0,464303,3930322,0,мерседес w220,2277,34,"{598:'Для автомобилей', 5:'Запчасти'}"
5323,2015-05-05 12:53:22.0,2214458,85749,1,мотошлем,2694,34,{5:'Экипировка'}
5356,2015-05-17 10:50:10.0,271210,1707393,1,sony xperia tablet z3,3960,25,{140:'Планшеты'}
5358,2015-05-03 19:20:39.0,2150310,1605923,1,шорты,3960,22,"{83:'Другое', 175:'Женская одежда'}"
5376,2015-05-05 13:05:18.0,2090923,3075302,0,прихожая,2840,38,{45:'Подставки и тумбы'}
5443,2015-05-12 16:28:13.0,723109,4064182,0,кухни бу,346,38,{45:'Кухонные гарнитуры'}
5445,2015-05-05 00:03:23.0,1956331,3547894,1,на паз,2885,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Двигатель'}"
5467,2015-04-30 12:53:53.0,99574,3825149,1,кардиган,3960,22,"{83:'Верхняя одежда', 175:'Женская одежда'}"
5487,2015-05-10 12:29:53.0,582218,4097438,0,мерседес,2885,34,"{598:'Для автомобилей', 5:'Запчасти', 817:'Двигатель'}"
5497,2015-05-16 12:58:55.0,1031083,639663,0,лонгборд,3960,5,{165:'Ролики и скейтбординг'}
5517,2015-05-13 16:11:19.0,866706,2194140,0,палатка,2885,5,{165:'Туризм'}
5550,2015-05-12 14:39:16.0,2134453,564269,0,зеркальные,3953,44,{223:'Плёночные фотоаппараты'}
5563,2015-05-14 01:51:19.0,564037,3896384,0,iphone 6,3960,41,{143:'iPhone'}
5566,2015-05-03 18:52:58.0,1475119,3879205,1,samsung galaxy s6 edge,3953,41,{143:'Samsung'}
5567,2015-05-09 12:49:06.0,588453,2201685,0,босоножки,3960,22,"{83:'Обувь', 175:'Женская одежда', 88:'36'}"
5630,2015-05-08 17:54:36.0,1481093,4128945,0,canon 600d,1261,44,{223:'Зеркальные фотоаппараты'}
5637,2015-05-16 19:18:15.0,92087,127549,0,светильник,3953,38,{45:'Освещение'}
5652,2015-05-11 21:29:32.0,1382788,3124705,0,очки,3976,22,{175:'Аксессуары'}
5668,2015-05-08 22:23:39.0,1473523,447886,0,forward,3960,4,{156:'Детские'}
5703,2015-05-12 22:12:05.0,654333,882021,1,куртка,3960,60,"{112:'86-92 см (1-2 года)', 179:'Верхняя одежда', 178:'Для девочек'}"
5756,2015-05-05 20:46:46.0,240566,808068,0,сапоги,3953,22,"{83:'Обувь', 175:'Женская одежда', 88:'38'}"
5765,2015-05-12 14:43:05.0,2245643,3212813,0,шуба,3960,22,"{83:'Верхняя одежда', 175:'Женская одежда', 86:'48–50 (XL)'}"
5772,2015-05-07 21:11:42.0,1716143,718602,1,ps4,3960,13,{137:'Игровые приставки'}
5789,2015-05-16 16:42:23.0,392877,2713960,0,женские,4145,11,{104:'Часы'}
5827,2015-05-11 13:39:49.0,2172885,1672441,0,туфли,3953,22,"{83:'Обувь', 175:'Женская одежда', 88:'> 41'}"
