AdID,LocationID,CategoryID,Params,Price,Title,IsContext
132143,,22.0,"{83:'Обувь', 175:'Женская одежда'}",2299.0,Эспадрильи кожаные,1
132433,,47.0,{127:'Игрушки'},932.0,Конструктор Bornimago ML-66P,1
140466,,60.0,"{178:'Для девочек', 179:'Шапки, варежки, шарфы'}",372.0,Шапка,1
140802,,22.0,"{83:'Купальники', 175:'Женская одежда'}",2249.0,Купальник раздельный,1
140918,,22.0,"{83:'Обувь', 175:'Женская одежда'}",2039.0,Балетки с цветочным рисунком,1
144942,,22.0,"{83:'Джинсы', 175:'Женская одежда'}",2079.0,Джинсы стретч с регулируемым поясом ANNE WEYBURN,1
147844,,50.0,{44:'Инструменты'},8826.0,Трехсекционная лестница-стремянка SevenBerg 3x13,1
150977,,44.0,{223:'Компактные фотоаппараты'},42990.0,Фотоаппарат зеркальный Canon EOS 700D Kit 18-55 IS,1
152618,,22.0,{175:'Аксессуары'},4599.0,Сумка из замши,1
154339,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",3410.0,Запчасти б/у и новые для toyota highlander (07-),1
155137,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",585.0,Тройник системы охлаждения Hyundai / Kia,1
156799,,50.0,{44:'Инструменты'},1580.0,Дрель Интерскол Д-10/350 Т 225.1.0.40,1
158406,,26.0,"{132:'Акустика, колонки, сабвуферы'}",12490.0,Сабвуфер Onkyo SKW-770 black,1
159495,,27.0,"{48:'Для кухни', 486:'Холодильники и морозильные камеры'}",65990.0,Встраиваемый однокамерный холодильник Liebherr IKB,1
170730,,38.0,"{45:'Кровати, диваны и кресла'}",769.0,Чехол для основания дивана,1
171737,,22.0,"{83:'Обувь', 175:'Женская одежда'}",1019.0,Босоножки,1
172866,,34.0,"{5:'Запчасти', 598:'Для спецтехники'}",12251.0,Стартер МТЗ,1
173656,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5770.0,Запчасти б/у и новые для toyota camry v50 (11-),1
174823,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5000.0,Крыло переднее левое Audi Ауди А4 8K0,1
180103,,29.0,{483:'Клавиатуры и мыши'},3788.0,Мышь беспроводная APPLE Magic Mouse White MB829,1
212187,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5200.0,Бампер передний Форд Мондео 3,1
212593,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5980.0,Запчасти б/у и новые для peugeot boxer (06-)/ ct j,1
220636,,11.0,{104:'Ювелирные изделия'},13400.0,"ЗОЛОТЫЕ серьги ""Круиз""",1
223276,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",4530.0,Запчасти б/у и новые для kia rio (11-),1
232172,,38.0,"{45:'Кровати, диваны и кресла'}",76000.0,"Спальный гарнитур ""Диана"", беж, со склада",1
234123,,50.0,{44:'Инструменты'},1790.0,Краскораспылитель с редуктором FUBAG 110106,1
234616,,41.0,{143:'Nokia'},8900.0,Nokia Lumia 925,1
238588,,47.0,{127:'Детские коляски'},5390.0,Прогулочная коляска Cam Flip 47,1
244441,,41.0,{143:'iPhone'},12500.0,iPhone 4s 32Gb Black,1
246941,,60.0,"{178:'Для девочек', 179:'Трикотаж'}",999.0,Блузка,1
256195,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",9700.0,Запчасти б/у и новые для mitsubishi pajero sport (,1
262722,,38.0,{45:'Столы и стулья'},1490.0,Стол обеденный кемпинговый со скамейками,1
266060,,38.0,{45:'Шкафы и комоды'},10700.0,Комод широкий Валента КШВ-3 [КШВ-03-2Д-4Я],1
268218,,27.0,"{48:'Для дома', 487:'Стиральные машины'}",32490.0,Стиральная машина с вертикальной загрузкой Zanussi,1
280624,,27.0,"{48:'Для дома', 487:'Стиральные машины'}",13990.0,Стиральная машина Узкая Beko MVB 69001 Y,1
281435,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",125000.0,"АКПП Крайслер, Додж 62те(6-ступ) новая в наличии",1
286003,,41.0,{143:'LG'},10990.0,Мобильный телефон LG L90 (белый),1
288616,,44.0,{223:'Зеркальные фотоаппараты'},6348.0,Фотоаппарат Nikon L830 Coolpix,1
291892,,27.0,"{48:'Для дома', 487:'Стиральные машины'}",51990.0,Стиральная машина с сушкой Vestfrost VFWD 1260 W,1
313133,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",1.0,Контрактный двигатель Ауди А6 3.0 ASN 04г.,1
314187,,38.0,{45:'Шкафы и комоды'},7600.0,Комод Аризона-5.10,1
326584,,60.0,"{178:'Для девочек', 179:'Трикотаж'}",380.0,Крестильный набор,1
332579,,38.0,"{45:'Кровати, диваны и кресла'}",18990.0,Детский диван Кот и Пёс,1
337440,,60.0,"{178:'Для девочек', 179:'Брюки'}",479.0,Брюки спортивные,1
337531,,22.0,"{175:'Мужская одежда', 176:'Верхняя одежда'}",2990.0,Ветровка спортивная Nike с доставкой,1
339559,,22.0,"{83:'Платья и юбки', 175:'Женская одежда'}",2799.0,Платье,1
340049,,37.0,{14:'Монеты'},16375.0,Монета Эрмитаж серебро 25 руб. Россия 2014 год,1
346524,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",3570.0,Запчасти б/у и новые для renault logan (05-),1
356564,,60.0,"{178:'Для девочек', 179:'Верхняя одежда'}",2484.0,Плащ,1
362722,,27.0,"{48:'Для кухни', 486:'Плиты'}",9029.0,Плита Gefest 3200-08,1
364888,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",4540.0,Запчасти б/у и новые для volkswagen polo (9/10-),1
367557,,60.0,"{178:'Для девочек', 179:'Другое'}",768.0,Купальник монокини,1
368946,,60.0,"{110:'Обувь', 178:'Для мальчиков'}",1699.0,Кеды низкие,1
380724,,60.0,"{178:'Для девочек', 179:'Платья и юбки'}",599.0,"Платье с воланами, 100% хлопка",1
381196,,60.0,"{178:'Для девочек', 179:'Брюки'}",1381.0,Джинсы,1
385706,,22.0,"{175:'Мужская одежда', 176:'Верхняя одежда'}",10029.0,Блузон из кожи,1
397723,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",0.0,Бампер передний [5 дверей] для Киа Сид,1
398352,,22.0,"{83:'Купальники', 175:'Женская одежда'}",3599.0,Купальник раздельный,1
417782,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",3920.0,Запчасти б/у и новые для toyota avensis (03-07),1
418703,,60.0,"{178:'Для девочек', 179:'Брюки'}",755.0,Шорты джинсовые с рисунком,1
422923,,26.0,{132:'Усилители и ресиверы'},199000.0,AV Ресивер Onkyo TX-NR5010 black,1
424941,,60.0,"{178:'Для девочек', 179:'Обувь'}",1099.0,Ботиночки,1
427050,,41.0,"{143:'Аксессуары', 480:'Чехлы и плёнки'}",990.0,Защитное стекло Luxcase Для iPhone 5/5S/5C,1
427351,,50.0,{44:'Инструменты'},9899.0,Мотобур,1
433125,,47.0,{127:'Товары для кормления'},2992.0,Молокоотсос ручной Philips Avent Natural SCF330,1
436942,,60.0,"{110:'Обувь', 178:'Для мальчиков'}",1099.0,Ботиночки,1
439871,,25.0,{140:'Электронные книги'},8990.0,Электронная книга PocketBook 626 (темно-серый),1
443591,,41.0,{143:'Другие марки'},8990.0,Мобильный телефон Highscreen Zera S Power (черный),1
444421,,22.0,"{175:'Мужская одежда', 176:'Пиджаки и костюмы'}",21592.0,Костюм MARCIANO Guess,1
444609,,60.0,"{110:'Верхняя одежда', 178:'Для мальчиков'}",938.0,2футболки с принтом и длинными рукавами,1
447157,,27.0,"{48:'Для кухни', 486:'Мелкая кухонная техника'}",7490.0,Хлебопечка Moulinex Nutribread OW311E32,1
450140,,38.0,{45:'Компьютерные столы и кресла'},7061.0,Кресло офисное Франческо черное,1
452158,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5990.0,Запчасти б/у и новые для hyundai sonata  (10-),1
458300,,22.0,"{83:'Трикотаж', 175:'Женская одежда'}",3999.0,"Кардиган асимметричный, 50% шелка",1
471334,,41.0,{143:'iPhone'},8720.0,iPhone 4s 16Gb Новый/Оригинал/Гарантия/Магазин,1
475548,,22.0,{175:'Аксессуары'},13400.0,Сумка,1
479985,,16.0,{162:'Пианино и другие клавишные'},13900.0,Синтезатор Yamaha PSR-R200,1
482130,,60.0,"{178:'Для девочек', 179:'Платья и юбки'}",1099.0,Юбка плиссированная,1
482767,,22.0,"{83:'Рубашки и блузки', 175:'Женская одежда'}",6490.0,Блуза Tommy Hilfiger,1
483264,,41.0,"{143:'Аксессуары', 480:'Чехлы и плёнки'}",3490.0,Клип-кейс Apple Для iPhone 6 Plus (черный),1
483786,,25.0,{140:'Планшеты'},4990.0,"Планшет Wexler TAB i70 7"" 8GB Wi-Fi + Чехол",1
487177,,22.0,"{83:'Обувь', 175:'Женская одежда'}",3349.0,Балетки кожаные,1
487358,,11.0,{104:'Ювелирные изделия'},4030.0,Золотая подвеска SOKOLOV,1
487400,,22.0,"{83:'Верхняя одежда', 175:'Женская одежда'}",7110.0,Пальто Ichi,1
488280,,29.0,{483:'Сетевое оборудование'},1150.0,Роутер Huawei WS330 (черный),1
489039,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",1700.0,Фара левая Фольксваген Т4,1
494081,,22.0,"{83:'Платья и юбки', 175:'Женская одежда'}",2199.0,Платье с рукавами 3/4 с воланами,1
495563,,38.0,{45:'Кухонные гарнитуры'},54500.0,"Кухонный гарнитур ""МАРГО"" под заказ",1
503429,,41.0,{143:'Nokia'},15990.0,Мобильный телефон Nokia Lumia 730 Dual SIM зеленый,1
506626,,47.0,{127:'Велосипеды и самокаты'},17590.0,"Велосипед, 16'', Puky ZL 16-1 Alu 4225 Kiwi",1
510807,,41.0,{143:'Sony'},38990.0,Мобильный телефон Sony Xperia Z3 (зеленый),1
514128,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",3510.0,Запчасти б/у и новые для hyundai ix35 (10- ),1
518778,,60.0,"{178:'Для девочек', 179:'Другое'}",1149.0,Купальник раздельный R TEENS,1
521379,,27.0,"{48:'Для кухни', 486:'Холодильники и морозильные камеры'}",86690.0,Двухкамерный холодильник Siemens KG 49 NAI 22 R,1
522005,,13.0,{137:'Игровые приставки'},16490.0,Игровая приставка Xbox 360 Microsoft E 500GB+Call,1
527669,,22.0,"{175:'Мужская одежда', 176:'Обувь'}",3990.0,Кроссовки Nike,1
537454,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",3540.0,Запчасти б/у и новые для toyota highlander (07-),1
540425,,26.0,{132:'Усилители и ресиверы'},11990.0,AV ресивер Yamaha HTR-2067 black,1
545111,,25.0,{140:'Планшеты'},9749.0,Планшет Samsung SM-T231 Galaxy Tab 4 7.0 - 8Gb 3G,1
552059,,38.0,{45:'Кухонные гарнитуры'},12140.0,"Кухонный угол ""Модерн-4""",1
552240,,60.0,"{178:'Для девочек', 179:'Верхняя одежда'}",1699.0,Жакет джинсовый,1
555511,,38.0,"{45:'Кровати, диваны и кресла'}",9950.0,Чунга-чанга детский диван выкатной с фабрики,1
567303,,38.0,{45:'Освещение'},50000.0,Две настольные лампы от Porta Romana.,1
573384,,50.0,{44:'Инструменты'},2190.0,Ручной рубанок 60 1/2 BLOCK PLANE (ALL MKTS) Stanl,1
576521,,22.0,"{83:'Другое', 175:'Женская одежда'}",1759.0,Кардиган из двух материалов,1
582232,,60.0,"{178:'Для девочек', 179:'Другое'}",1049.0,Купальник цельный R KIDS,1
594974,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",2500.0,Крыло переднее Шевроле Круз,1
602403,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",3960.0,Запчасти б/у и новые для mitsubishi lancer  x (07-,1
608647,,22.0,"{83:'Обувь', 175:'Женская одежда'}",2990.0,Туфли LOST INK с доставкой,1
612055,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5860.0,Запчасти б/у и новые для toyota camry v40 (1/06-),1
612802,,60.0,"{110:'Другое', 178:'Для мальчиков'}",1279.0,Термобелье комплект (брюки и кофта),1
613803,,27.0,"{48:'Для кухни', 486:'Мелкая кухонная техника'}",4999.0,Кофемашина Krups KP 1105 Red,1
616090,,26.0,"{132:'Музыкальные центры, магнитолы'}",6605.0,"Музыкальный центр Sony CMT-X3CD Микросистема CD,US",1
617391,,22.0,"{83:'Платья и юбки', 175:'Женская одежда'}",3490.0,Платье Lamania с доставкой,1
622419,,22.0,"{83:'Платья и юбки', 175:'Женская одежда'}",799.0,Юбка,1
627803,,38.0,{45:'Компьютерные столы и кресла'},10620.0,Угловой компьютерный стол Фортуна 35,1
631096,,22.0,{175:'Аксессуары'},14490.0,Сумка DKNY,1
631328,,22.0,"{83:'Обувь', 175:'Женская одежда'}",3679.0,Ботильоны из замши,1
632809,,11.0,{104:'Ювелирные изделия'},55000.0,Оригинальное золотое кольцо с Бриллиантами 0.91ct,1
636008,,38.0,{45:'Кухонные гарнитуры'},32139.0,Кухонный гарнитур «ДЖАЗ» Б2446 2650*540 ,1
638271,,26.0,"{132:'Акустика, колонки, сабвуферы'}",3428.0,Колонки 2.1 Edifier R401,1
642227,,60.0,"{110:'Другое', 178:'Для мальчиков'}",1811.0,Спортивный костюм,1
642255,,13.0,{137:'Игровые приставки'},14990.0,Игровая приставка Xbox 360 Microsoft E 4GB+Kinect+,1
645960,,41.0,{143:'Samsung'},4990.0,Samsung Galaxy Star Plus Duos GT-S7262 (белый),1
646412,,22.0,"{83:'Платья и юбки', 175:'Женская одежда'}",2249.0,Юбка прямая,1
647363,,38.0,"{45:'Кровати, диваны и кресла'}",6000.0,"Диваны для дома, кафе или офиса НОВЫЕ.",1
647720,,22.0,"{83:'Купальники', 175:'Женская одежда'}",370.0,Купальник в стиле Бохо,1
656629,,34.0,"{5:'Шины, диски и колёса', 709:'Диски'}",1590.0,Штампованный диск Trebl  53C47G FORD  5.5x14 4x108,1
658794,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",15000.0,"Audi A4, A6, Q5, Q7 (3 SPOK) airbag-srs",1
658856,,34.0,"{5:'Шины, диски и колёса', 709:'Диски'}",1990.0,Литой диск Yamato Kuoka 6x15/5x105 D56.6 ET39 WRI,1
663706,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5730.0,Запчасти б/у и новые для mazda 6 (08-),1
664193,,5.0,{165:'Зимние виды спорта'},16490.0,Горные лыжи Rossignol Hero Elite SX Sport 2014-15,1
665438,,41.0,{143:'HTC'},37990.0,Мобильный телефон HTC One M8 Dual SIM 16Gb (серебр,1
680804,,11.0,{104:'Ювелирные изделия'},590000.0,Массивное колье Bvlgari 148 грамм. Оригинал,1
681477,,38.0,{45:'Столы и стулья'},2352.0,Стул В 2072 коричневый/хром ,1
683405,,25.0,{140:'Планшеты'},12990.0,Планшет Huawei MediaPad T1 8.0 LTE (серебристый),1
684060,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",6500.0,Решетка радиатора Митсубиси Паджеро,1
685590,,38.0,{45:'Столы и стулья'},9490.0,Стол кухонный «Диез Т4» Венге/Дуб-Сильвер,1
691142,,47.0,{127:'Велосипеды и самокаты'},3300.0,Детский самокат от мирового бренда.,1
698768,,5.0,{165:'Другое'},2990.0,Штанга-штатив распорная для установки лазерных нив,1
699564,,41.0,{143:'Fly'},640.0,"Чехлы, пленки и защитные стекла для Fly здесь",1
704791,,38.0,{45:'Компьютерные столы и кресла'},5406.0,Стол компьютерный Сигма-7,1
706206,,27.0,"{48:'Для кухни', 486:'Холодильники и морозильные камеры'}",34690.0,Холодильник с нижней морозильной камерой Bosch KGS,1
708276,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5510.0,Запчасти б/у и новые для hyundai elantra (11-),1
708286,,60.0,"{110:'Верхняя одежда', 178:'Для мальчиков'}",2639.0,Куртка,1
709730,,41.0,{143:'Sony'},29990.0,Мобильный телефон Sony Xperia Z3 Compact (зеленый),1
712808,,38.0,"{45:'Кровати, диваны и кресла'}",2390.0,Кресло надувное Relax JL037225N Black/Beige (125x1,1
715625,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",0.0,Капот для Форд Фокус 2+,1
715935,,38.0,{45:'Столы и стулья'},4836.0,Табурет мягкий 12/18 коньяк ,1
716650,,4.0,{156:'Горные'},9542.0,Японский велосипед MIKADO,1
716713,,38.0,{45:'Шкафы и комоды'},3090.0,Подвесной шкаф для ванн АкваМаста угловой,1
719760,,41.0,{143:'LG'},10990.0,Мобильный телефон LG L90 (черный),1
723505,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",45000.0,Двигатель Ауди,1
726978,,60.0,"{110:'Обувь', 178:'Для мальчиков'}",2664.0,Ботинки,1
741285,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",4420.0,Запчасти б/у и новые для nissan x-trail t31 (07-),1
746656,,22.0,"{83:'Другое', 175:'Женская одежда'}",3149.0,Комбинезон с рисунком либерти,1
749403,,38.0,{45:'Кухонные гарнитуры'},37800.0,Уютный кухонный гарнитур под заказ,1
752349,,22.0,"{83:'Трикотаж', 175:'Женская одежда'}",4699.0,"Длинный кардиган, 60% шелка",1
754974,,22.0,"{83:'Обувь', 175:'Женская одежда'}",2800.0,Красные лаковые туфли,1
756356,,4.0,{156:'Дорожные'},7490.0,Велосипед Novatrack Х52033-К Green,1
758793,,47.0,{127:'Велосипеды и самокаты'},1571.0,Детский самокат Чаггингтон,1
761184,,44.0,{223:'Зеркальные фотоаппараты'},6990.0,Цифровой фотоаппарат Fujifilm FinePix S8600,1
763806,,44.0,{223:'Объективы'},8990.0,Объектив для системного фотоаппарата Sigma 30mm,1
769920,,38.0,{45:'Столы и стулья'},13390.0,Стол NNDT -T- 4260 STP,1
771840,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5810.0,Запчасти б/у и новые для audi q5 (08-),1
783917,,22.0,{175:'Аксессуары'},21500.0,Сумка MICHAEL Michael Kors,1
784737,,60.0,"{178:'Для девочек', 179:'Трикотаж'}",1344.0,Туника,1
795321,,60.0,"{178:'Для девочек', 179:'Платья и юбки'}",1099.0,Платье с узором,1
798382,,22.0,"{83:'Обувь', 175:'Женская одежда'}",3800.0,Ботфорты на шпильке белые,1
800504,,5.0,{165:'Фитнес и тренажёры'},4499.0,Степпер BRADEX Cardio Twister (SF0033),1
800687,,38.0,"{45:'Кровати, диваны и кресла'}",21450.0,Император 5 диван угловой дельфин с фабрики,1
809390,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5000.0,Фара правая TOYOTA CAMRY Тойота Камри 30 01- 04,1
812469,,4.0,{156:'Горные'},12500.0,ВЕЛОСИПЕД FURY NAGANO DISC,1
816829,,60.0,"{178:'Для девочек', 179:'Обувь'}",1359.0,Босоножки,1
820252,,44.0,{223:'Зеркальные фотоаппараты'},119990.0,Фотоаппарат зеркальный  Canon EOS 7D Mark II Body,1
830152,,38.0,{45:'Шкафы и комоды'},10500.0,Стенка Мебелайн 11,1
834209,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",6500.0,Крыло переднее Форд Фьюжин,1
835547,,22.0,"{175:'Мужская одежда', 176:'Трикотаж и футболки'}",799.0,Футболка с длинными рукавами,1
835685,,38.0,{45:'Шкафы и комоды'},9250.0,Шкаф для одежды Валента ШОВ-3 [ШОВ-03-1Ш-1П],1
836383,,60.0,"{110:'Брюки', 178:'Для мальчиков'}",879.0,Джинсы прямые,1
840228,,38.0,{45:'Кухонные гарнитуры'},4500.0,Стол обеденный круглый (МДФ),1
841453,,27.0,"{48:'Для кухни', 486:'Мелкая кухонная техника'}",5689.0,Микроволновая печь Samsung ME732KR-S,1
843497,,26.0,"{132:'Музыкальные центры, магнитолы'}",15079.0,Музыкальный центр Sony GTK-X1BT,1
844148,,50.0,{44:'Инструменты'},1290.0,"Аналоговая паяльная станция СВЕТОЗАР, жало ""Hi qua",1
853617,,27.0,"{48:'Для дома', 487:'Стиральные машины'}",27990.0,Стиральная машина Узкая LG F12U1HBS2,1
855107,,38.0,"{45:'Кровати, диваны и кресла'}",51000.0,"Спальный гарнитур  ""Карина"", беж-золото, склад",1
859158,,22.0,"{83:'Обувь', 175:'Женская одежда'}",2800.0,Красные туфли на шпильке,1
860376,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",5930.0,Запчасти б/у и новые для mazda 3 (09-),1
861397,,51.0,"{148:'МФУ, копиры и сканеры'}",7360.0,"МФУ лазерное Brother DCP-1512R, принтер/сканер/коп",1
863266,,22.0,"{175:'Мужская одежда', 176:'Верхняя одежда'}",5990.0,Куртка Merc,1
866188,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",4560.0,Запчасти б/у и новые для honda crv (06-11),1
884886,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",3520.0,Запчасти б/у и новые для nissan juke (11- ),1
885513,,41.0,{143:'iPhone'},7720.0,iPhone 4 8Gb Новый/Оригинал/Гарантия/Магазин,1
886132,,60.0,"{110:'Верхняя одежда', 178:'Для мальчиков'}",4799.0,Куртка,1
886853,,50.0,{44:'Инструменты'},7890.0,Отрезная пила Энкор Корвет-431 20431,1
893686,,38.0,{45:'Столы и стулья'},47600.0,"Стол овальный раскладной D.120, из бука, Италия",1
900517,,27.0,"{48:'Для кухни', 486:'Холодильники и морозильные камеры'}",7989.0,Холодильник Shivaki SHRF-50TR1,1
909384,,25.0,{140:'Планшеты'},3195.0,Lenovo IdeaTab S2109 8Gb,1
910483,,27.0,{48:'Другое'},790.0,Весы напольные Scarlett SC-218 Sand,1
913525,,60.0,"{178:'Для девочек', 179:'Обувь'}",5099.0,Ботинки кожаные,1
917992,,27.0,"{48:'Для кухни', 486:'Холодильники и морозильные камеры'}",6999.0,Холодильник Shivaki SHRF-50TR1,1
920743,,60.0,"{178:'Для девочек', 179:'Платья и юбки'}",1099.0,Платье из двух материалов,1
921038,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",4500.0,Запчасти б/у и новые для hyundai accent (00-) +таг,1
924235,,26.0,"{132:'Музыкальные центры, магнитолы'}",17999.0,Музыкальный центр LG DM5620K,1
925044,,34.0,{5:'Багажники и фаркопы'},1720.0,Багажник на крышу автомобиля для 1-го велосипеда.,1
925774,,22.0,"{83:'Платья и юбки', 175:'Женская одежда'}",3349.0,Платье с длинными рукавами,1
926290,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",4400.0,Бампер передний Ниссан Альмера 16,1
928629,,60.0,"{178:'Для девочек', 179:'Брюки'}",1399.0,Джинсы скинни,1
937927,,38.0,{45:'Столы и стулья'},521.0,Стул Atemi / Мебек AFS-400 - стул рыбака со спинко,1
943496,,38.0,"{45:'Кровати, диваны и кресла'}",8900.0,Бескаркасное кресло-мешок CLUB CHAIR,1
944239,,34.0,"{5:'Запчасти', 598:'Для автомобилей'}",4200.0,Запчасти и фары Ниссан Альмера,1
946239,,60.0,"{178:'Для девочек', 179:'Другое'}",2197.0,Спортивный костюм,1
